"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.393773500E0,-1.007554779E0,3.177442474E0,9.151669006E0,9.739833310E0
1.403754500E0,-1.006656647E0,3.205583954E0,9.118587799E0,9.717909731E0
1.413734500E0,-1.011446686E0,3.212469635E0,9.126371613E0,9.727982543E0
1.423715500E0,-1.015039215E0,3.218307495E0,9.167236633E0,9.768625043E0
1.433696500E0,-1.025068359E0,3.225791931E0,9.154213715E0,9.759924562E0
1.443677500E0,-1.017583923E0,3.224594421E0,9.163195038E0,9.767171009E0
1.453658500E0,-1.032403107E0,3.211272125E0,9.155560913E0,9.757172770E0
1.463639500E0,-1.023421783E0,3.179987183E0,9.217681732E0,9.804354499E0
1.473619500E0,-1.019529877E0,3.133134613E0,9.239087219E0,9.809011485E0
1.483600500E0,-1.055155792E0,3.127596130E0,9.262139282E0,9.832722684E0
1.493581500E0,-1.087338867E0,3.161874847E0,9.272916870E0,9.857319394E0
1.503562500E0,-1.110241241E0,3.174897766E0,9.266629944E0,9.858145969E0
1.513543500E0,-1.099014587E0,3.175795898E0,9.275012512E0,9.865058021E0
1.523524500E0,-1.062191162E0,3.163371735E0,9.262438660E0,9.845198866E0
1.533504500E0,-1.067729645E0,3.166365509E0,9.243877258E0,9.829302310E0
1.543485500E0,-1.069525909E0,3.186723175E0,9.229507141E0,9.822570556E0
1.553466500E0,-1.043480072E0,3.198249207E0,9.206904144E0,9.802282008E0
1.563447500E0,-1.015787659E0,3.197650452E0,9.203610992E0,9.796083313E0
1.573428500E0,-1.003064117E0,3.191513214E0,9.189989319E0,9.779969218E0
1.583409500E0,-1.000519409E0,3.194806366E0,9.176816711E0,9.768407842E0
1.593389500E0,-9.949809265E-1,3.216511230E0,9.171876984E0,9.770325427E0
1.603370500E0,-9.994715881E-1,3.209326172E0,9.145831146E0,9.743969688E0
1.613351500E0,-1.024170227E0,3.204985199E0,9.132508850E0,9.732603592E0
1.623332500E0,-1.022972717E0,3.221750336E0,9.158255310E0,9.762161069E0
1.633313500E0,-1.009800110E0,3.200195160E0,9.147028656E0,9.743155472E0
1.643294500E0,-1.013841705E0,3.164269867E0,9.189091187E0,9.771380436E0
1.653274500E0,-1.025667114E0,3.165916443E0,9.201814728E0,9.785111866E0
1.663255500E0,-1.017583923E0,3.160677338E0,9.176217957E0,9.758500615E0
1.673236500E0,-9.967771912E-1,3.127745819E0,9.175170135E0,9.744747595E0
1.683217500E0,-1.006956024E0,3.114573212E0,9.155411224E0,9.722966698E0
1.693198500E0,-1.025367737E0,3.152594147E0,9.156608734E0,9.738260233E0
1.703179500E0,-1.063837738E0,3.172353058E0,9.192534027E0,9.782548569E0
1.713159500E0,-1.090632019E0,3.165018311E0,9.203311615E0,9.793250931E0
1.723140500E0,-1.089883575E0,3.145558777E0,9.213191071E0,9.796186806E0
1.733121500E0,-1.077908478E0,3.124153290E0,9.222920837E0,9.797167409E0
1.743102500E0,-1.071771240E0,3.142714691E0,9.213191071E0,9.793275189E0
1.753086750E0,-1.088237000E0,3.142115936E0,9.189839630E0,9.772937366E0
1.763067750E0,-1.093326416E0,3.133883057E0,9.194479980E0,9.775226226E0
1.773047750E0,-1.088835754E0,3.144660645E0,9.218729553E0,9.800991197E0
1.783028750E0,-1.050515442E0,3.162623291E0,9.221573639E0,9.805263339E0
1.793009750E0,-1.035995636E0,3.171305237E0,9.182504883E0,9.769793231E0
1.802990750E0,-1.052910461E0,3.189118195E0,9.200317841E0,9.794128020E0
1.812971750E0,-1.059646454E0,3.213517456E0,9.192084961E0,9.795099335E0
1.822952750E0,-1.050216064E0,3.219804382E0,9.175918579E0,9.780980309E0
1.832933750E0,-1.029858398E0,3.191812592E0,9.188642120E0,9.781585759E0
1.842913750E0,-1.019380188E0,3.141517181E0,9.214388580E0,9.788422911E0
1.852894750E0,-1.020428009E0,3.137026520E0,9.208251343E0,9.781313894E0
1.862875750E0,-1.011596375E0,3.166814575E0,9.201215973E0,9.783374528E0
1.872856750E0,-1.052311707E0,3.184028778E0,9.233698425E0,9.823776555E0
1.882837750E0,-1.067879333E0,3.175496521E0,9.234746246E0,9.823679690E0
1.892818750E0,-1.055604858E0,3.172053680E0,9.232650604E0,9.819270001E0
1.902798750E0,-1.027463379E0,3.188220062E0,9.205706635E0,9.796196344E0
1.912779750E0,-1.017733612E0,3.199746094E0,9.184450836E0,9.778972028E0
1.922760750E0,-1.001567230E0,3.175197144E0,9.158404999E0,9.744813797E0
